日期,天气,温度,风向
2017-01-07,"小雨
                                        /雨夹雪","4℃
                                        /
                                        0℃","北风 ≤3级
                                        /北风 ≤3级"
2017-01-08,"霾
                                        /多云","4℃
                                        /
                                        -3℃","北风 ≤3级
                                        /北风 ≤3级"
2017-01-09,"雾
                                        /霾","5℃
                                        /
                                        -3℃","北风 ≤3级
                                        /北风 ≤3级"
2017-01-10,"晴
                                        /多云","4℃
                                        /
                                        -3℃","北风 3-4级
                                        /南风 3-4级"
2017-01-11,"晴
                                        /晴","6℃
                                        /
                                        -2℃","南风 3-4级
                                        /南风 ≤3级"
2017-01-12,"霾
                                        /晴","7℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-01-13,"晴
                                        /晴","5℃
                                        /
                                        -5℃","北风 ≤3级
                                        /北风 ≤3级"
2017-01-14,"晴
                                        /晴","3℃
                                        /
                                        -5℃","东北风 ≤3级
                                        /东北风 ≤3级"
2017-01-15,"晴
                                        /多云","3℃
                                        /
                                        -5℃","南风 ≤3级
                                        /南风 ≤3级"
2017-01-16,"多云
                                        /霾","5℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 3-4级"
2017-01-17,"霾
                                        /霾","6℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-01-18,"多云
                                        /阴","6℃
                                        /
                                        -1℃","东北风 ≤3级
                                        /南风 3-4级"
2017-01-19,"多云
                                        /晴","4℃
                                        /
                                        -8℃","南风 ≤3级
                                        /北风 3-4级"
2017-01-20,"晴
                                        /晴","1℃
                                        /
                                        -8℃","北风 ≤3级
                                        /南风 3-4级"
2017-01-21,"晴
                                        /晴","3℃
                                        /
                                        -8℃","南风 3-4级
                                        /北风 3-4级"
2017-01-22,"晴
                                        /晴","1℃
                                        /
                                        -8℃","北风 ≤3级
                                        /南风 ≤3级"
2017-01-23,"晴
                                        /多云","5℃
                                        /
                                        -4℃","南风 ≤3级
                                        /南风 ≤3级"
2017-01-24,"多云
                                        /多云","6℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-01-25,"晴
                                        /晴","9℃
                                        /
                                        2℃","南风 ≤3级
                                        /南风 3-4级"
2017-01-26,"多云
                                        /晴","12℃
                                        /
                                        -3℃","南风 4-5级
                                        /北风 3-4级"
2017-01-27,"晴
                                        /多云","6℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 3-4级"
2017-01-28,"小雨
                                        /雨夹雪","5℃
                                        /
                                        -4℃","南风 ≤3级
                                        /北风 3-4级"
2017-01-29,"阵雪
                                        /多云","1℃
                                        /
                                        -7℃","北风 4-5级
                                        /北风 3-4级"
2017-01-30,"晴
                                        /多云","1℃
                                        /
                                        -5℃","北风 ≤3级
                                        /南风 ≤3级"
2017-01-31,"多云
                                        /多云","4℃
                                        /
                                        -3℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-01,"晴
                                        /晴","5℃
                                        /
                                        -4℃","北风 ≤3级
                                        /南风 ≤3级"
2017-02-02,"多云
                                        /多云","7℃
                                        /
                                        -3℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-03,"多云
                                        /多云","9℃
                                        /
                                        2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-04,"多云
                                        /多云","9℃
                                        /
                                        0℃","南风 ≤3级
                                        /北风 ≤3级"
2017-02-05,"晴
                                        /晴","7℃
                                        /
                                        -2℃","北风 ≤3级
                                        /北风 ≤3级"
2017-02-06,"多云
                                        /多云","6℃
                                        /
                                        -3℃","北风 3-4级
                                        /北风 3-4级"
2017-02-07,"多云
                                        /阴","4℃
                                        /
                                        -2℃","北风 ≤3级
                                        /北风 ≤3级"
2017-02-08,"阴
                                        /多云","3℃
                                        /
                                        -6℃","北风 3-4级
                                        /北风 ≤3级"
2017-02-09,"晴
                                        /晴","3℃
                                        /
                                        -6℃","北风 3-4级
                                        /北风 3-4级"
2017-02-10,"晴
                                        /晴","4℃
                                        /
                                        -5℃","北风 ≤3级
                                        /南风 ≤3级"
2017-02-11,"晴
                                        /晴","8℃
                                        /
                                        -2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-12,"晴
                                        /晴","13℃
                                        /
                                        2℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-13,"晴
                                        /晴","13℃
                                        /
                                        1℃","北风 ≤3级
                                        /北风 ≤3级"
2017-02-14,"晴
                                        /晴","14℃
                                        /
                                        6℃","南风 3-4级
                                        /南风 3-4级"
2017-02-15,"晴
                                        /晴","16℃
                                        /
                                        9℃","西南风 4-5级
                                        /西南风 4-5级"
2017-02-16,"晴
                                        /多云","17℃
                                        /
                                        1℃","西南风 3-4级
                                        /北风 3-4级"
2017-02-17,"多云
                                        /晴","7℃
                                        /
                                        1℃","北风 ≤3级
                                        /南风 3-4级"
2017-02-18,"晴
                                        /晴","14℃
                                        /
                                        6℃","南风 3-4级
                                        /南风 4-5级"
2017-02-19,"多云
                                        /多云","18℃
                                        /
                                        0℃","南风 4-5级
                                        /东北风 4-5级"
2017-02-20,"晴
                                        /多云","6℃
                                        /
                                        -2℃","东北风 4-5级
                                        /东北风 3-4级"
2017-02-21,"大雪
                                        /阴","2℃
                                        /
                                        -4℃","北风 ≤3级
                                        /北风 ≤3级"
2017-02-22,"多云
                                        /晴","2℃
                                        /
                                        -4℃","北风 ≤3级
                                        /北风 ≤3级"
2017-02-23,"晴
                                        /晴","6℃
                                        /
                                        -1℃","北风 ≤3级
                                        /南风 ≤3级"
2017-02-24,"晴
                                        /晴","11℃
                                        /
                                        1℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-25,"晴
                                        /晴","12℃
                                        /
                                        0℃","北风 ≤3级
                                        /南风 ≤3级"
2017-02-26,"晴
                                        /晴","13℃
                                        /
                                        3℃","南风 ≤3级
                                        /南风 ≤3级"
2017-02-27,"晴
                                        /多云","16℃
                                        /
                                        8℃","南风 3-4级
                                        /南风 3-4级"
2017-02-28,"晴
                                        /阴","17℃
                                        /
                                        4℃","南风 3-4级
                                        /北风 ≤3级"
2017-03-01,"多云
                                        /晴","9℃
                                        /
                                        -2℃","北风 4-5级
                                        /北风 ≤3级"
2017-03-02,"晴
                                        /晴","13℃
                                        /
                                        2℃","南风 3-4级
                                        /南风 3-4级"
2017-03-03,"晴
                                        /晴","16℃
                                        /
                                        5℃","南风 3-4级
                                        /南风 ≤3级"
2017-03-04,"晴
                                        /多云","17℃
                                        /
                                        4℃","北风 ≤3级
                                        /北风 3-4级"
2017-03-05,"晴
                                        /晴","11℃
                                        /
                                        -1℃","北风 3-4级
                                        /北风 ≤3级"
2017-03-06,"多云
                                        /多云","13℃
                                        /
                                        0℃","西南风 3-4级
                                        /西北风 ≤3级"
2017-03-07,"晴
                                        /晴","9℃
                                        /
                                        0℃","北风 ≤3级
                                        /北风 ≤3级"
2017-03-08,"晴
                                        /晴","12℃
                                        /
                                        3℃","北风 ≤3级
                                        /南风 ≤3级"
2017-03-09,"晴
                                        /晴","15℃
                                        /
                                        4℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-10,"晴
                                        /多云","18℃
                                        /
                                        7℃","南风 ≤3级
                                        /南风 3-4级"
2017-03-11,"多云
                                        /阴","19℃
                                        /
                                        7℃","南风 ≤3级
                                        /北风 3-4级"
2017-03-12,"多云
                                        /多云","12℃
                                        /
                                        0℃","北风 4-5级
                                        /北风 3-4级"
2017-03-13,"晴
                                        /晴","11℃
                                        /
                                        0℃","北风 ≤3级
                                        /南风 ≤3级"
2017-03-14,"晴
                                        /晴","15℃
                                        /
                                        4℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-15,"晴
                                        /多云","16℃
                                        /
                                        7℃","南风 ≤3级
                                        /南风 3-4级"
2017-03-16,"多云
                                        /晴","17℃
                                        /
                                        8℃","南风 3-4级
                                        /南风 3-4级"
2017-03-17,"多云
                                        /晴","18℃
                                        /
                                        9℃","南风 3-4级
                                        /南风 ≤3级"
2017-03-18,"晴
                                        /晴","20℃
                                        /
                                        9℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-19,"晴
                                        /多云","20℃
                                        /
                                        10℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-20,"阴
                                        /多云","13℃
                                        /
                                        3℃","北风 ≤3级
                                        /北风 ≤3级"
2017-03-21,"晴
                                        /多云","16℃
                                        /
                                        7℃","东北风 ≤3级
                                        /东南风 ≤3级"
2017-03-22,"多云
                                        /阴","15℃
                                        /
                                        6℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-23,"多云
                                        /小雨","14℃
                                        /
                                        7℃","东南风 ≤3级
                                        /东南风 ≤3级"
2017-03-24,"小雨
                                        /小雨","13℃
                                        /
                                        5℃","南风 ≤3级
                                        /北风 ≤3级"
2017-03-25,"多云
                                        /多云","13℃
                                        /
                                        5℃","北风 ≤3级
                                        /北风 ≤3级"
2017-03-26,"多云
                                        /晴","14℃
                                        /
                                        5℃","北风 3-4级
                                        /南风 ≤3级"
2017-03-27,"晴
                                        /中雨","16℃
                                        /
                                        5℃","北风 ≤3级
                                        /北风 3-4级"
2017-03-28,"小雨
                                        /晴","8℃
                                        /
                                        2℃","北风 3-4级
                                        /南风 ≤3级"
2017-03-29,"晴
                                        /多云","18℃
                                        /
                                        6℃","南风 ≤3级
                                        /南风 ≤3级"
2017-03-30,"阴
                                        /小雨","17℃
                                        /
                                        6℃","南风 ≤3级
                                        /东北风 ≤3级"
2017-03-31,"多云
                                        /晴","15℃
                                        /
                                        5℃","北风 ≤3级
                                        /南风 ≤3级"
2017-04-01,"晴
                                        /晴","20℃
                                        /
                                        9℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-02,"晴
                                        /晴","24℃
                                        /
                                        14℃","南风 3-4级
                                        /南风 3-4级"
2017-04-03,"晴
                                        /多云","24℃
                                        /
                                        15℃","南风 3-4级
                                        /南风 3-4级"
2017-04-04,"小雨
                                        /小雨","18℃
                                        /
                                        11℃","南风 3-4级
                                        /南风 ≤3级"
2017-04-05,"阴
                                        /多云","19℃
                                        /
                                        9℃","北风 ≤3级
                                        /北风 ≤3级"
2017-04-06,"晴
                                        /晴","23℃
                                        /
                                        12℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-07,"晴
                                        /多云","24℃
                                        /
                                        14℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-08,"小雨
                                        /多云","18℃
                                        /
                                        8℃","东北风 3-4级
                                        /东北风 3-4级"
2017-04-09,"多云
                                        /多云","17℃
                                        /
                                        7℃","北风 3-4级
                                        /北风 ≤3级"
2017-04-10,"多云
                                        /多云","16℃
                                        /
                                        8℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-11,"晴
                                        /晴","19℃
                                        /
                                        9℃","北风 ≤3级
                                        /北风 ≤3级"
2017-04-12,"晴
                                        /多云","22℃
                                        /
                                        13℃","南风 3-4级
                                        /南风 3-4级"
2017-04-13,"雷阵雨
                                        /阴","21℃
                                        /
                                        13℃","南风 4-5级
                                        /南风 3-4级"
2017-04-14,"多云
                                        /晴","25℃
                                        /
                                        15℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-15,"晴
                                        /多云","29℃
                                        /
                                        19℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-16,"小到中雨
                                        /小雨","24℃
                                        /
                                        14℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-17,"多云
                                        /晴","27℃
                                        /
                                        16℃","南风 3-4级
                                        /南风 3-4级"
2017-04-18,"晴
                                        /多云","23℃
                                        /
                                        15℃","北风 3-4级
                                        /南风 3-4级"
2017-04-19,"小雨
                                        /阴","22℃
                                        /
                                        11℃","南风 3-4级
                                        /南风 ≤3级"
2017-04-20,"晴
                                        /多云","23℃
                                        /
                                        10℃","南风 ≤3级
                                        /南风 ≤3级"
2017-04-21,"多云
                                        /晴","18℃
                                        /
                                        9℃","北风 3-4级
                                        /南风 ≤3级"
2017-04-22,"晴
                                        /晴","23℃
                                        /
                                        15℃","南风 3-4级
                                        /南风 4-5级"
2017-04-23,"晴
                                        /晴","26℃
                                        /
                                        18℃","南风 4-5级
                                        /南风 3-4级"
2017-04-24,"雷阵雨
                                        /多云","25℃
                                        /
                                        15℃","北风 <3级
                                        /北风 <3级"
2017-04-25,"多云
                                        /多云","21℃
                                        /
                                        9℃","北风 3-4级
                                        /北风 ≤3级"
2017-04-26,"晴
                                        /晴","22℃
                                        /
                                        9℃","北风 ≤3级
                                        /北风 ≤3级"
2017-04-27,"晴
                                        /晴","24℃
                                        /
                                        13℃","北风 ≤3级
                                        /北风 ≤3级"
2017-04-28,"晴
                                        /晴","29℃
                                        /
                                        20℃","西南风 ≤3级
                                        /南风 ≤3级"
2017-04-29,"晴
                                        /晴","32℃
                                        /
                                        23℃","南风 3-4级
                                        /南风 3-4级"
2017-04-30,"晴
                                        /多云","31℃
                                        /
                                        18℃","南风 3-4级
                                        /东北风 3-4级"
2017-05-01,"多云
                                        /多云","30℃
                                        /
                                        19℃","南风 ≤3级
                                        /南风 ≤3级"
2017-05-02,"晴
                                        /多云","32℃
                                        /
                                        17℃","南风 3-4级
                                        /南风 3-4级"
2017-05-03,"多云
                                        /雷阵雨","26℃
                                        /
                                        15℃","南风 3-4级
                                        /南风 ≤3级"
2017-05-04,"多云
                                        /晴","25℃
                                        /
                                        15℃","北风 ≤3级
                                        /南风 3-4级"
2017-05-05,"多云
                                        /晴","24℃
                                        /
                                        12℃","西北风 4-5级
                                        /西北风 ≤3级"
2017-05-06,"晴
                                        /晴","27℃
                                        /
                                        18℃","西南风 3-4级
                                        /南风 3-4级"
2017-05-07,"晴
                                        /多云","29℃
                                        /
                                        20℃","西南风 3-4级
                                        /南风 ≤3级"
2017-05-08,"雷阵雨
                                        /雷阵雨","25℃
                                        /
                                        15℃","南风 ≤3级
                                        /南风 ≤3级"
2017-05-09,"多云
                                        /晴","27℃
                                        /
                                        18℃","南风 ≤3级
                                        /南风 3-4级"
2017-05-10,"晴
                                        /晴","31℃
                                        /
                                        22℃","南风 3-4级
                                        /南风 3-4级"
2017-05-11,"多云
                                        /雷阵雨","33℃
                                        /
                                        17℃","南风 3-4级
                                        /北风 3-4级"
2017-05-12,"多云
                                        /晴","31℃
                                        /
                                        20℃","南风 3-4级
                                        /南风 3-4级"
2017-05-13,"晴
                                        /晴","28℃
                                        /
                                        15℃","北风 3～4级
                                        /北风 <3级"
2017-05-14,"雷阵雨
                                        /雷阵雨","27℃
                                        /
                                        14℃","南风 <3级
                                        /北风 <3级"
2017-05-15,"多云
                                        /晴","27℃
                                        /
                                        17℃","南风 <3级
                                        /南风 <3级"
2017-05-16,"晴
                                        /晴","30℃
                                        /
                                        22℃","南风 3-4级
                                        /南风 4-5级"
2017-05-17,"晴
                                        /晴","33℃
                                        /
                                        24℃","南风 4-5级
                                        /南风 4-5级"
2017-05-18,"晴
                                        /晴","35℃
                                        /
                                        26℃","南风 4-5级
                                        /南风 4-5级"
2017-05-19,"多云
                                        /多云","33℃
                                        /
                                        23℃","南风 3-4级
                                        /南风 3-4级"
2017-05-20,"晴
                                        /晴","33℃
                                        /
                                        22℃","南风 ≤3级
                                        /南风 ≤3级"
2017-05-21,"晴
                                        /晴","32℃
                                        /
                                        23℃","南风 ≤3级
                                        /南风 3-4级"
2017-05-22,"多云
                                        /小到中雨","31℃
                                        /
                                        14℃","南风 3-4级
                                        /北风 3-4级"
2017-05-23,"阴
                                        /多云","24℃
                                        /
                                        13℃","北风 3-4级
                                        /北风 ≤3级"
2017-05-24,"晴
                                        /晴","30℃
                                        /
                                        20℃","南风 ≤3级
                                        /南风 ≤3级"
2017-05-25,"晴
                                        /晴","29℃
                                        /
                                        16℃","北风 3-4级
                                        /北风 ≤3级"
2017-05-26,"晴
                                        /晴","32℃
                                        /
                                        23℃","南风 ≤3级
                                        /南风 3-4级"
2017-05-27,"晴
                                        /晴","36℃
                                        /
                                        28℃","南风 3-4级
                                        /南风 4-5级"
2017-05-28,"晴
                                        /晴","36℃
                                        /
                                        28℃","南风 4-5级
                                        /南风 3-4级"
2017-05-29,"晴
                                        /多云","35℃
                                        /
                                        24℃","南风 3-4级
                                        /北风 ≤3级"
2017-05-30,"晴
                                        /雷阵雨","33℃
                                        /
                                        20℃","北风 ≤3级
                                        /北风 ≤3级"
2017-05-31,"多云
                                        /多云","32℃
                                        /
                                        22℃","北风 ≤3级
                                        /南风 ≤3级"
2017-06-01,"晴
                                        /晴","33℃
                                        /
                                        21℃","北风 3-4级
                                        /南风 3-4级"
2017-06-02,"雷阵雨
                                        /雷阵雨","34℃
                                        /
                                        15℃","南风 3-4级
                                        /北风 3-4级"
2017-06-03,"多云
                                        /晴","27℃
                                        /
                                        17℃","东北风 ≤3级
                                        /南风 ≤3级"
2017-06-04,"晴
                                        /晴","31℃
                                        /
                                        20℃","东南风 ≤3级
                                        /东南风 ≤3级"
2017-06-05,"阴
                                        /小到中雨","25℃
                                        /
                                        15℃","北风 ≤3级
                                        /北风 ≤3级"
2017-06-06,"小雨
                                        /多云","21℃
                                        /
                                        14℃","北风 ≤3级
                                        /南风 ≤3级"
2017-06-07,"晴
                                        /晴","29℃
                                        /
                                        18℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-08,"多云
                                        /多云","32℃
                                        /
                                        23℃","南风 3-4级
                                        /南风 3-4级"
2017-06-09,"晴
                                        /晴","34℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-10,"多云
                                        /多云","32℃
                                        /
                                        22℃","北风 ≤3级
                                        /南风 ≤3级"
2017-06-11,"多云
                                        /阴","31℃
                                        /
                                        22℃","南风 ≤3级
                                        /南风 3-4级"
2017-06-12,"雷阵雨
                                        /雷阵雨","29℃
                                        /
                                        18℃","南风 3-4级
                                        /北风 3-4级"
2017-06-13,"雷阵雨
                                        /多云","27℃
                                        /
                                        18℃","北风 ≤3级
                                        /北风 ≤3级"
2017-06-14,"晴
                                        /晴","32℃
                                        /
                                        21℃","北风 ≤3级
                                        /南风 ≤3级"
2017-06-15,"晴
                                        /晴","34℃
                                        /
                                        23℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-16,"晴
                                        /晴","35℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-17,"晴
                                        /晴","36℃
                                        /
                                        27℃","南风 3-4级
                                        /南风 3-4级"
2017-06-18,"晴
                                        /晴","35℃
                                        /
                                        25℃","南风 3-4级
                                        /南风 3-4级"
2017-06-19,"多云
                                        /雷阵雨","35℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-20,"多云
                                        /多云","35℃
                                        /
                                        25℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-21,"多云
                                        /雷阵雨","35℃
                                        /
                                        22℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-22,"雷阵雨
                                        /雷阵雨","31℃
                                        /
                                        20℃","南风 3-4级
                                        /南风 3-4级"
2017-06-23,"雷阵雨
                                        /中雨","29℃
                                        /
                                        20℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-24,"多云
                                        /多云","26℃
                                        /
                                        19℃","北风 3-4级
                                        /北风 3-4级"
2017-06-25,"多云
                                        /多云","27℃
                                        /
                                        20℃","北风 ≤3级
                                        /北风 ≤3级"
2017-06-26,"多云
                                        /晴","30℃
                                        /
                                        21℃","北风 ≤3级
                                        /南风 ≤3级"
2017-06-27,"晴
                                        /晴","34℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-28,"晴
                                        /晴","35℃
                                        /
                                        26℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-29,"多云
                                        /晴","35℃
                                        /
                                        27℃","南风 ≤3级
                                        /南风 ≤3级"
2017-06-30,"雷阵雨
                                        /多云","34℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-01,"多云
                                        /多云","34℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-02,"多云
                                        /晴","34℃
                                        /
                                        25℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-03,"晴
                                        /多云","36℃
                                        /
                                        26℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-04,"多云
                                        /雷阵雨","36℃
                                        /
                                        24℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-05,"多云
                                        /雷阵雨","34℃
                                        /
                                        23℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-06,"大雨
                                        /大雨","29℃
                                        /
                                        21℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-07,"阴
                                        /多云","31℃
                                        /
                                        23℃","北风 ≤3级
                                        /南风 ≤3级"
2017-07-08,"多云
                                        /多云","34℃
                                        /
                                        26℃","南风 3-4级
                                        /南风 3-4级"
2017-07-09,"多云
                                        /多云","35℃
                                        /
                                        23℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-10,"多云
                                        /晴","35℃
                                        /
                                        28℃","南风 <3级
                                        /南风 <3级"
2017-07-11,"晴
                                        /晴","37℃
                                        /
                                        28℃","南风 3-4级
                                        /南风 3-4级"
2017-07-12,"晴
                                        /晴","38℃
                                        /
                                        29℃","南风 3-4级
                                        /南风 3-4级"
2017-07-13,"晴
                                        /多云","37℃
                                        /
                                        28℃","南风 3-4级
                                        /南风 3-4级"
2017-07-14,"多云
                                        /雷阵雨","37℃
                                        /
                                        27℃","南风 ≤3级
                                        /南风 ≤3级"
2017-07-15,"雷阵雨
                                        /中雨","31℃
                                        /
                                        24℃","南风 ≤3级
                                        /北风 ≤3级"
2017-07-16,"雷阵雨
                                        /雷阵雨","29℃
                                        /
                                        24℃","北风 ≤3级
                                        /南风 ≤3级"
2017-07-17,"雷阵雨
                                        /雷阵雨","30℃
                                        /
                                        25℃","南风 ≤3级
                                        /南风 3-4级"
2017-07-18,"雷阵雨
                                        /雷阵雨","32℃
                                        /
                                        25℃","南风 3-4级
                                        /南风 3-4级"
